((6480, 92), (6480,), (1621, 92), (1621,))
(6416, 102656, 64)
(6416, 102656, 64)
set([0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15])
('init: ', 0.608266502159161)
('complete: ', 0.70265268352868604)
(80, 80, 6336)
('iter: ', 0, 0.61998766193707588)
(96, 96, 6320)
('iter: ', 1, 0.61875385564466379)
(112, 112, 6304)
('iter: ', 2, 0.6144355336212215)
(128, 128, 6288)
('iter: ', 3, 0.6095003084515731)
(144, 144, 6272)
('iter: ', 4, 0.59592843923504013)
(160, 160, 6256)
('iter: ', 5, 0.61752004935225169)
(176, 176, 6240)
('iter: ', 6, 0.60209747069710051)
(192, 192, 6224)
('iter: ', 7, 0.60148056755089452)
(208, 208, 6208)
('iter: ', 8, 0.60456508328192471)
(224, 224, 6192)
('iter: ', 9, 0.60086366440468841)
(240, 240, 6176)
('iter: ', 10, 0.608266502159161)
(256, 256, 6160)
('iter: ', 11, 0.60209747069710051)
(272, 272, 6144)
('iter: ', 12, 0.60888340530536711)
(288, 288, 6128)
('iter: ', 13, 0.6101172115977791)
(304, 304, 6112)
('iter: ', 14, 0.60888340530536711)
(320, 320, 6096)
('iter: ', 15, 0.59901295496607032)
(336, 336, 6080)
('iter: ', 16, 0.61505243676742749)
(352, 352, 6064)
('iter: ', 17, 0.6107341147439852)
(368, 368, 6048)
('iter: ', 18, 0.62368908081431218)
(384, 384, 6032)
('iter: ', 19, 0.62739049969154848)
(400, 400, 6016)
('iter: ', 20, 0.6132017273288094)
(416, 416, 6000)
('iter: ', 21, 0.63170882171499076)
(432, 432, 5984)
('iter: ', 22, 0.61937075879086978)
(448, 448, 5968)
('iter: ', 23, 0.62800740283775447)
(464, 464, 5952)
('iter: ', 24, 0.62924120913016657)
(480, 480, 5936)
('iter: ', 25, 0.64219617520049355)
(496, 496, 5920)
('iter: ', 26, 0.63294262800740286)
(512, 512, 5904)
('iter: ', 27, 0.63294262800740286)
(528, 528, 5888)
('iter: ', 28, 0.63664404688463916)
(544, 544, 5872)
('iter: ', 29, 0.64404688463911164)
(560, 560, 5856)
('iter: ', 30, 0.63972856261566935)
(576, 576, 5840)
('iter: ', 31, 0.64589759407772984)
(592, 592, 5824)
('iter: ', 32, 0.64096236890808145)
(608, 608, 5808)
('iter: ', 33, 0.65330043183220232)
(624, 624, 5792)
('iter: ', 34, 0.64774830351634793)
(640, 640, 5776)
('iter: ', 35, 0.64404688463911164)
(656, 656, 5760)
('iter: ', 36, 0.63849475632325725)
(672, 672, 5744)
('iter: ', 37, 0.64836520666255393)
(688, 688, 5728)
('iter: ', 38, 0.63479333744602096)
(704, 704, 5712)
('iter: ', 39, 0.64528069093152374)
(720, 720, 5696)
('iter: ', 40, 0.64528069093152374)
(736, 736, 5680)
('iter: ', 41, 0.64157927205428744)
(752, 752, 5664)
